FID,OBJECTID,NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,COTA,ESTADO_INS,FECHA_RE,RES,FECHA_RES_,RES_PDC,METODO_CON,OBS,NEAR_FID,NEAR_DIST,OBSVCN,Vol_Parcia,Vol_Total_,Ton_Parcia,Ton_Total_,Area_1,NORTE_GEO,ESTE_GEO
13,678,JORGE WENKE,EL ESCORIAL,V,PETORCA,CABILDO,EL ESCORIAL 2,TRANQUE DE RELAVE,COBRE-PLATA-ORO,"6,410,690.237700000400000","305,639.040199999990000",0.000000000000000,NO ACTIVO,11-12-1978,2383,N_A,N_A,AGUAS ARRIBA, ,"50,784",194.637416464000010, ,0,"80,000",0,"120,000","17,000",-32.4239543508243,-71.0670788042128
14,691,SOC. MINERA SAN MIGUEL (EX ORIEL JERALDO),FAENA SAN MIGUEL (EX-ANDACOLLO),IV,ELQUI,ANDACOLLO,SAN MIGUEL 1 (EX-ANDACOLLO 1),TRANQUE DE RELAVE,ORO,"6,653,481.387199999800000","301,211.915600000010000","1,039.000000000000000",NO ACTIVO, , , , ,AGUAS ARRIBA, ,"42,316",931.273868935999990, ,0,"89,100",0,"133,650","18,000",-30.2339889634924,-71.0657391428795
15,692,SOC. MINERA SAN MIGUEL (EX ORIEL JERALDO),FAENA SAN MIGUEL (EX-ANDACOLLO),IV,ELQUI,ANDACOLLO,SAN MIGUEL 6 (EX-ANDACOLLO 6),TRANQUE DE RELAVE,ORO,"6,653,570.022800000400000","301,221.175999999980000","1,039.000000000000000",NO ACTIVO,19-01-1987,1000,N_A,N_A, , ,"42,316",842.745685178000030, ,0,"93,590",0,"140,385","13,000",-30.2331911286514,-71.0656262457817
16,693,SOC. MINERA SAN MIGUEL (EX ORIEL JERALDO),FAENA SAN MIGUEL (EX-ANDACOLLO),IV,ELQUI,ANDACOLLO,SAN MIGUEL 2 (EX-ANDACOLLO 2),TRANQUE DE RELAVE,ORO,"6,653,560.100900000000000","301,062.425700000020000","1,039.000000000000000",NO ACTIVO, , , , ,AGUAS ARRIBA, ,"42,316",900.863515894999980, ,0,"18,560",0,"27,840","5,000",-30.2332545974487,-71.067276885625
17,694,SOC. MINERA SAN MIGUEL (EX ORIEL JERALDO),FAENA SAN MIGUEL (EX-ANDACOLLO),IV,ELQUI,ANDACOLLO,SAN MIGUEL 3 (EX-ANDACOLLO 3),TRANQUE DE RELAVE,ORO,"6,653,494.616399999700000","301,077.639299999980000","1,039.000000000000000",NO ACTIVO, , , , ,AGUAS ARRIBA, ,"42,316",956.246555496000040, ,0,"24,000",0,"36,000","3,200",-30.2338476561594,-71.0671312390895
18,15,CIA. MINERA ZALDIVAR,ZALDIVAR,II,ANTOFAGASTA,ANTOFAGASTA,AMPLIACION FASE III,ESPESADO,COBRE,"7,326,385.588100000300000","495,349.831699999980000","3,061.000000000000000",ACTIVO,21-12-2012,1528,19-06-2015,1647,N_A, ,"80,491","5,363.491492379999700", ,0,0,0,0,0,-24.1751079874654,-69.0457815473806
19,16,XSTRATA COPPER CHILE S.A,FAENA ALTONORTE,II,ANTOFAGASTA,ANTOFAGASTA,EMBALSE DE RELAVES,TRANQUE DE RELAVE,COBRE,"7,366,632.757299999700000","363,074.760599999980000",574.000000000000000,ACTIVO,09-09-2005,1786,27-05-2015,1417, , ,"78,179","2,317.954106870000000", ,"3,358,740","7,001,010","8,335,855","9,600,000","550,878",-23.8057342170923,-70.3441237803254
20,17,YAMANA GOLD - MINERA MERIDIAN,EL PEÑON,II,ANTOFAGASTA,ANTOFAGASTA,EL PEÑON,FILTRADO,ORO,"7,299,615.812900000300000","450,317.381799999970000","1,798.000000000000000",NO ACTIVO,13-01-2003,85,29-01-2010,137,N_A, ,"79,028",668.026390848000010, ,0,"9,866,667",0,"14,800,000","463,000",-24.4161045673448,-69.490052749253
21,18,EPV,SOC. CAPOTE,III,HUASCO,HUASCO,CAPOTE,TRANQUE DE RELAVE,ORO,"6,866,349.642000000000000","308,856.924999999990000",674.000000000000000,ABANDONADO,S/I,S/I, , , , ,"41,408",574.608396240000050, ,0,0,0,0,0,-28.3150920571435,-70.9495339968185
22,20,JUAN FERNANDO DAY,PLANTA DAY,III,COPIAPO,COPIAPO,DAY 2,TRANQUE DE RELAVE,ORO,"6,969,503.273000000000000","367,382.762999999980000",548.000000000000000,ACTIVO,S/I,S/I, , , ,"CORROBORAR DATOS, MUY BAJOS","64,392","1,825.052740390000100", ,0,"1,400",0,203,0,-27.3913539779975,-70.3412660866467
